PlotID,Easting,Northing,Habitat,Park,study,site,hab,roadDist,habi,EDEN,Notes
142,536504,2808483,Pineland,Everglades National Park,EVER,77,Pineland,33,Pineland,1,
143,536485,2809220,Pineland,Everglades National Park,EVER,78,Pineland,6,Pineland,1,
144,536925,2809388,Pineland,Everglades National Park,EVER,79,Pineland,71,Pineland,1,
145,535621,2809271,Pineland,Everglades National Park,EVER,80,Pineland,56,Pineland,1,
146,534985,2809609,Pineland,Everglades National Park,EVER,81,Pineland,37,Pineland,1,near campground
147,528268,2812784,Pineland,Everglades National Park,EVER,82,Pineland,112,Pineland,1,
148,530769,2810345,Pineland,Everglades National Park,EVER,,,,,0,
149,530971,2812084,Pineland,Everglades National Park,EVER,,,,,0,
150,535362,2808055,Pineland,Everglades National Park,EVER,,,,,0,Boyscout Camp
151,531786,2812193,Pineland,Everglades National Park,EVER,,,,,0,
152,541604,2808702,Pineland,Everglades National Park,EVER,,,,,0,pineland just burned before entry gate
153,527746,2812493,Pineland,Everglades National Park,EVER,83,Pineland,324,Pineland,1,
154,528246,2812488,Pineland,Everglades National Park,EVER,84,Pineland,147,Pineland,1,
155,529464,2812099,Pineland,Everglades National Park,EVER,85,Pineland,349,Pineland,1,
156,528998,2811739,Pineland,Everglades National Park,EVER,86,Pineland,79,Pineland,1,
157,531181,2812606,Pineland,Everglades National Park,EVER,87,Pineland,96,Pineland,1,
158,530641,2811654,Pineland,Everglades National Park,EVER,88,Pineland,72,Pineland,1,
159,540860,2820201,Rocky Glades,Everglades National Park,EVER,89,Marsh,1897,Prairie,1,context road; need argo
160,539830,2820200,Rocky Glades,Everglades National Park,EVER,90,Marsh,2927,Prairie,1,context road; need argo
161,538747,2820200,Rocky Glades,Everglades National Park,EVER,91,Marsh,3315,Prairie,1,context road; need argo
162,537798,2820194,Rocky Glades,Everglades National Park,EVER,92,Marsh,3151,Prairie,1,context road; need argo
163,536850,2811189,Rocky Glades,Everglades National Park,EVER,93,Marsh,101,Prairie,1,
164,526696,2813082,Rocky Glades,Everglades National Park,EVER,94,Marsh,149,Prairie,1,
165,550475,2843733,Rocky Glades,Everglades National Park,EVER,,,,,0,
166,521119,2813998,Rocky Glades,Everglades National Park,EVER,95,Marsh,753,Prairie,1,North of Pa Hay Okee tower
167,542649,2820313,Rocky Glades,Everglades National Park,EVER,,,,,0,Just N of the gate to Context Rd.
168,542713,2820122,Rocky Glades,Everglades National Park,EVER,,,,,0,Context road
169,539108,2809915,Rocky Glades,Everglades National Park,EVER,96,Marsh,110,Prairie,1,
170,542247,2820282,Rocky Glades,Everglades National Park,EVER,97,Marsh,513,Prairie,1,N. side of Context Rd.
171,538626,2810233,Rocky Glades,Everglades National Park,EVER,98,Marsh,150,Prairie,1,
172,535500,2811344,Rocky Glades,Everglades National Park,EVER,99,Marsh,141,Prairie,1,
173,538202,2810440,Rocky Glades,Everglades National Park,EVER,100,Marsh,121,Prairie,1,
174,535645,2820080,Rocky Glades,Everglades National Park,EVER,101,Marsh,3676,Prairie,1,S. side of Context Rd.
175,542219,2820160,Rocky Glades,Everglades National Park,EVER,102,Marsh,542,Prairie,1,S. side of Context Rd.
176,538431,2820141,Rocky Glades,Everglades National Park,EVER,103,Marsh,3178,Prairie,1,S. side of Context Rd.
177,525459,2834394,Hardwood,Everglades National Park,EVER,104,Hammock,3843,Hammock,1,tree island out in shark slough
178,538100,2808584,Hardwood,Everglades National Park,EVER,105,Hammock,90,Hammock,1,
179,534809,2809654,Hardwood,Everglades National Park,EVER,106,Hammock,2,Hammock,1,
180,539138,2807314,Hardwood,Everglades National Park,EVER,107,Hammock,49,Hammock,1,
181,520124,2808369,Hardwood,Everglades National Park,EVER,108,Hammock,49,Hammock,1,
182,516830,2800732,Hardwood,Everglades National Park,EVER,109,Hammock,87,Hammock,0,
183,524093,2844016,Hardwood,Everglades National Park,EVER,,,,,0,
184,541760,2833163,Hardwood,Everglades National Park,EVER,110,Hammock,224,Hammock,1,Short hydro hammock at Chekika.
185,508939,2820539,Hardwood,Everglades National Park,EVER,111,Hammock,13145,Hammock,1,Called 1769 in BICY Database
186,523441,2837752,Hardwood,Everglades National Park,EVER,,,,,0,Tower spur trail.
187,523418,2847802,Hardwood,Everglades National Park,EVER,,,,,0,Otter cave trail.
