SpeciesCode,Class,Order,Family,Genus,Species,SubSpecies,CommonName,Introduced,Meshaka,ThisStudy,Comments
ACAR,Reptilia,Squamata/Sauria,Polycrotidae,Anolis,carolinensis,,green anole,0,1,1,
Afe,Reptilia,Testudines,Trionychidae,Apolone,ferox,,Florida softshell turtle,0,1,1,
AGRY,Amphibia,Anura,Hylidae,Acris,gryllus,dorsalis,Florida cricket frog,0,1,1,
Ame,Amphibia,Caudata,Amphiumidae,Amphiuma,means,,2-toed amphiuma,0,1,1,
Ami,Reptilia,Crocodylia,Alligatoridae,Alligator,mississippiensis,,American alligator,0,1,1,
Api,Reptilia,Squamata/Serpentes,Viperidae,Agkistrodon,piscivorus,conanti,Florida cottonmouth,0,1,1,
AQUE,Amphibia,Anura,Bufonidae,Bufo,quercicus,,oak toad,0,1,1,
ASAG,Reptilia,Squamata/Sauria,Polycrotidae,Anolis,sagrei,,brown anole,1,1,1,
ATER,Amphibia,Anura,Bufonidae,Bufo,terrestris,,southern toad,0,1,1,
Cac,Reptilia,Crocodylia,Crocodylidae,Crocodylus,accutus,,American crocodile,0,1,1,
Cad,Reptilia,Squamata/Serpentes,Viperidae,Crotalus,adamanteus,,eastern diamondback rattlesnake,0,1,1,
Cca,Reptilia,Testudines,Cheloniidae,Caretta,caretta,,loggerhead,0,1,0,
Ccc,Reptilia,Squamata/Serpentes,Colubridae,Cemophora,coccinea,coccinea,Florida scarlet snake,0,1,1,
Ccn,Reptilia,Squamata/Serpentes,Colubridae,Coluber,constrictor,paludicola,Everglades racer,0,1,1,
Ccr,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus,,spectacled caiman,1,0,0,Does not occur in EVER
Cmy,Reptilia,Testudines,Cheloniidae,Chelonia,mydas,,green turtle,0,1,0,
Cse,Reptilia,Testudines,Chelydridae,Chelydra,serpentina,osceola,Florida snapping turtle,0,1,1,
Dca,Reptilia,Squamata/Serpentes,Colubridae,Drymarchon,corais,couperi,eastern indigo snake,0,1,0,
Dci,Reptilia,Testudines,Dermochelyidae,Dermochleys,coriacea,,leatherback,0,1,0,
Dpu,Reptilia,Squamata/Serpentes,Colubridae,Diadophis,punctatus,punctatus,southern ringneck snake,0,1,1,
Dre,Reptilia,Testudines,Emydidae,Deirochelys,reticularia,chrysea,Florida chicken turtle,0,1,1,
Egu,Reptilia,Squamata/Serpentes,Colubridae,Elaphe,guttata,guttata,corn snake,0,1,1,
Eim,Reptilia,Testudines,Cheloniidae,Eretmochelys,imbricata,imbricata,Atlantic hawksbill,0,1,0,
Ein,Reptilia,Squamata/Sauria,Scincidae,Eumeces,inexpectatus,,southeastern five-lined skink,0,1,1,
Eoq,Reptilia,Squamata/Serpentes,Colubridae,Elaphe,obsoleta,quadrivittata,yellow rat snake,0,1,1,
Eor,Reptilia,Squamata/Serpentes,Colubridae,Elaphe,obsoleta,rossalleni,Everglades rat snake,0,1,0,This subspecies not readily distinguishable from E. o. quadrivittata
EPLA,Amphibia,Anura,Leptodactylidae,Eleutherodactylus,planirostris,planirostris,greenhouse frog,1,1,1,
Equ,Amphibia,Caudata,Plethodontidae,Eurycea,quadridigitata,,dwarf salamnder,0,0,0,Does not occur in EVER
Fab,Reptilia,Squamata/Serpentes,Colubridae,Farancia,abacura,abacura,eastern mud snake,0,1,1,
GCAR,Amphibia,Anura,Microhylidae,Gastrophryne,carolinensis,,eastern narrowmouth toad,0,1,1,
Gge,Reptilia,Squamata/Sauria,Gekkonidae,Gekko,gecko,,tokay gecko,1,1,0,
Gpo,Reptilia,Testudines,Testudinidae,Gopherus,polyphemus,,gopher tortoise,0,1,1,
HCIN,Amphibia,Anura,Hylidae,Hyla,cinerea,,green treefrog,0,1,1,
HFEM,Amphibia,Anura,Hylidae,Hyla,femoralis,,pine woods treefrog,0,0,0,Does not occur in EVER
Hga,Reptilia,Squamata/Sauria,Gekkonidae,Hemidactylus,garnotii,,Indo-Pacific gecko,1,1,1,
HGRA,Amphibia,Anura,Hylidae,Hyla,gratiosa,,barking treefrog,0,0,0,Does not occur in EVER
Hma,Reptilia,Squamata/Sauria,Gekkonidae,Hemidactylus,mabouia,,tropical house gecko,1,1,1,
HSQU,Amphibia,Anura,Hylidae,Hyla,squirella,,squirell treefrog,0,1,1,
Htu,Reptilia,Squamata/Sauria,Gekkonidae,Hemidactylus,tursicus,tursicus,Medeterranean gecko,1,0,0,Does not occur in EVER
Kba,Reptilia,Testudines,Kinosternidae,Kinosternon,baurii,,striped mud turtle,0,1,1,
Ksu,Reptilia,Testudines,Kinosternidae,Kinosternon,subrubrum,steindachneri,Florida mud turtle,0,1,1,
